Date,Close,High,Low,Total Market Value,Dividend Market Value
2018-12-31,6635.28,6659.96,6570.06,10005688684285.0,1011644701.0
2018-12-28,6584.52,6684.18,6529.22,9929087763274.0,1127847434.0
2018-12-27,6579.49,6583.01,6336.97,9921152039351.0,375635380.0
2018-12-26,6554.36,6555.53,6214.34,9883637599188.0,99436558.0
2018-12-24,6192.92,6355.18,6190.17,9338606281606.0,72264483.0
2018-12-21,6332.99,6586.68,6304.63,9593607645393.0,5134508.0
2018-12-20,6528.41,6666.2,6447.91,9941644955391.0,111595081.0
2018-12-19,6636.83,6868.86,6586.5,10108115450287.0,8080443.0
2018-12-18,6783.91,6847.27,6733.71,10332727089379.0,1430223746.0
2018-12-17,6753.73,6931.81,6710.01,10286757138945.0,215534862.0
2018-12-14,6910.66,7027.17,6898.99,10525448731013.0,301213807.0
2018-12-13,7070.33,7154.64,7034.82,10768943860985.0,2125655223.0
2018-12-12,7098.31,7197.29,7096.56,10812601895390.0,13827897.0
2018-12-11,7031.83,7129.83,6983.01,10700498264111.0,4159992.0
2018-12-10,7020.52,7047.62,6878.98,10684075421513.0,33753345.0
2018-12-07,6969.25,7205.37,6945.27,10601159795980.0,272227276.0
2018-12-06,7188.26,7189.52,6984.34,10941449422462.0,2475510157.0
2018-12-04,7158.43,7421.11,7150.11,10895617111339.0,270352000.0
2018-12-03,7441.51,7486.51,7392.22,11326587131201.0,19293078.0
2018-11-30,7330.54,7332.79,7255.68,11159773255844.0,519120481.0
2018-11-29,7273.08,7319.96,7217.69,11075044890792.0,795322858.0
2018-11-28,7291.59,7292.71,7090.98,11102989685595.0,314954804.0
2018-11-27,7082.7,7105.14,7014.36,10776083695248.0,94099613.0
2018-11-26,7081.85,7083.93,7003.12,10774763871144.0,75963393.0
2018-11-23,6938.98,6987.89,6919.16,10556907536909.0,169836324.0
2018-11-21,6972.25,7029.92,6951.62,10606969983343.0,526999889.0
2018-11-20,6908.82,6994.75,6830.76,10510023179434.0,344805730.0
2018-11-19,7028.48,7224.12,7011.4,10691869348663.0,214149950.0
2018-11-16,7247.87,7274.86,7171.7,11027691278852.0,176581567.0
2018-11-15,7259.03,7274.26,7072.36,11044292323498.0,1842362354.0
2018-11-14,7136.39,7285.57,7101.17,10857779928358.0,4285296710.0
2018-11-13,7200.87,7319.12,7182.86,10952945017209.0,331314377.0
2018-11-12,7200.87,7371.09,7193.77,10952925418478.0,0.0
2018-11-09,7406.9,7474.34,7349.48,11267372362232.0,262914593.0
2018-11-08,7530.88,7566.93,7499.71,11455447641716.0,5112251597.0
2018-11-07,7570.75,7572.93,7435.87,11516400292305.0,65686671.0
2018-11-06,7375.96,7400.64,7320.89,11218051238448.0,1641947097.0
2018-11-05,7328.85,7349.23,7255.88,11164932015582.0,220555060.0
2018-11-02,7356.99,7466.53,7298.68,11207683233097.0,86235154.0
2018-11-01,7434.06,7435.88,7286.5,11325090915361.0,65243320.0
2018-10-31,7305.9,7368.49,7270.63,11128485763030.0,526453416.0
2018-10-30,7161.65,7166.84,7001.48,10908583439088.0,864840458.0
2018-10-29,7050.29,7295.61,6922.83,10739014131191.0,37536971.0
2018-10-26,7167.21,7283.32,7057.0,10916683232304.0,337761075.0
2018-10-25,7318.34,7364.82,7178.54,11143275418857.0,36088205.0
2018-10-24,7108.4,7435.69,7099.0,10823594882778.0,15833713.0
2018-10-23,7437.54,7472.58,7260.13,11323534093150.0,114779414.0
2018-10-22,7468.63,7520.54,7424.74,11371225827495.0,8143497.0
2018-10-19,7449.03,7582.89,7428.3,11342387690765.0,11408383.0
2018-10-18,7485.14,7616.86,7452.46,11397016893929.0,61475275.0
2018-10-17,7642.7,7670.49,7563.09,11636336428016.0,3240640.0
2018-10-16,7645.49,7658.14,7493.44,11639190113960.0,21346593.0
2018-10-15,7430.74,7500.93,7400.07,11309699125555.0,10462699.0
2018-10-12,7496.89,7516.69,7368.33,11410139550070.0,46985519.0
2018-10-11,7329.06,7493.21,7274.04,11153262130274.0,62062811.0
2018-10-10,7422.05,7701.2,7420.56,11291093971467.0,7245115.0
2018-10-09,7738.02,7799.75,7718.95,11778258656623.0,152751109.0
2018-10-08,7735.95,7797.32,7654.84,11771463714895.0,0.0
2018-10-05,7788.45,7902.67,7715.97,11851420175836.0,119674438.0
2018-10-04,7879.51,7997.17,7833.16,11990731431320.0,1715899099.0
2018-10-03,8025.09,8053.93,8012.03,12209927039655.0,2517911.0
2018-10-02,7999.55,8054.15,7983.99,12171520372847.0,888858273.0
2018-10-01,8037.3,8107.38,8019.77,12233100237030.0,49581886.0
2018-09-28,8046.35,8065.06,8015.87,12245856502227.0,79070504.0
2018-09-27,8041.97,8071.56,8017.91,12237799506047.0,1310044018.0
2018-09-26,7990.37,8067.03,7982.76,12156394634173.0,77360069.0
2018-09-25,8007.47,8014.12,7979.29,12179204631378.0,18915777.0
2018-09-24,7993.25,7997.9,7912.47,12157358326190.0,96296963.0
2018-09-21,7986.96,8057.26,7979.67,12175735648880.0,791806.0
2018-09-20,8028.23,8039.06,7986.4,12238220560629.0,52458780.0
2018-09-19,7950.04,7976.12,7917.73,12119002583298.0,117171739.0
2018-09-18,7956.11,7986.1,7901.01,12128274811741.0,992139705.0
2018-09-17,7895.79,8002.78,7890.07,12036260979184.0,19457416.0
2018-09-14,8010.04,8040.83,7979.78,12216166694575.0,290703737.0
2018-09-13,8013.71,8037.51,7989.85,12220670048361.0,2056135880.0
2018-09-12,7954.23,7965.39,7884.05,12129346056778.0,135978481.0
2018-09-11,7972.47,7986.32,7880.92,12157242957892.0,610920242.0
2018-09-10,7924.16,7945.03,7890.39,12083549720023.0,37297967.0
2018-09-07,7902.54,7962.53,7873.93,12026616591249.0,371040810.0
2018-09-06,7922.73,8001.97,7885.49,12056813574697.0,1736890632.0
2018-09-05,7995.17,8077.84,7962.35,12167086828773.0,227219798.0
2018-09-04,8091.25,8104.07,8042.14,12313235735767.0,983828990.0
2018-08-31,8109.54,8119.82,8079.31,12345676988208.0,197640020.0
2018-08-30,8088.36,8133.3,8069.57,12313568045234.0,1159602391.0
2018-08-29,8109.69,8113.56,8042.1,12345192933065.0,223748298.0
2018-08-28,8030.04,8046.31,8009.59,12220289551558.0,6602022.0
2018-08-27,8017.9,8024.94,7976.6,12202683147049.0,12170229.0
2018-08-24,7945.98,7949.71,7907.1,12094277708171.0,125843188.0
2018-08-23,7878.46,7926.32,7866.53,11990170439771.0,139056294.0
2018-08-22,7889.1,7897.63,7840.84,12006824688595.0,531688459.0
2018-08-21,7859.17,7897.68,7836.79,11956064948596.0,314723916.0
2018-08-20,7821.01,7837.14,7787.9,11897873480853.0,136671514.0
2018-08-17,7816.33,7830.78,7752.68,11890545646227.0,680236816.0
2018-08-16,7806.52,7849.67,7795.74,11874818605410.0,1823005738.0
2018-08-15,7774.12,7832.66,7732.69,11825496921866.0,3660467225.0
2018-08-14,7870.89,7878.23,7815.5,11970571033682.0,209613803.0
2018-08-13,7819.71,7888.66,7814.27,11892481432838.0,298895687.0
2018-08-10,7839.11,7866.19,7818.37,11920953452442.0,4047169858.0
2018-08-09,7891.78,7923.35,7881.06,12000710952353.0,163997572.0
2018-08-08,7888.33,7901.69,7864.46,11995368378911.0,639876004.0
2018-08-07,7883.66,7898.2,7868.65,11985350164819.0,181974435.0
2018-08-06,7859.68,7859.68,7801.88,11947054620292.0,1761218709.0
