Date,Open,High,Low,Close,Volume
2014-01-02,8618.5996,8632.8096,8587.54,8612.54,2537600
2014-01-03,8584.7402,8584.7402,8537.8604,8546.54,2539700
2014-01-06,8553.0,8568.2402,8488.6396,8500.0098,2640100
2014-01-07,8515.3604,8547.1904,8512.2998,8512.2998,2598900
2014-01-08,8548.6104,8587.0801,8548.6104,8556.0098,3206300
2014-01-09,8555.7998,8569.1104,8506.0195,8514.6797,3819600
2014-01-10,8559.1797,8559.1797,8521.5,8529.3496,2730100
2014-01-13,8587.4902,8607.2305,8558.96,8566.2002,2662700
2014-01-14,8545.46,8568.3096,8523.46,8548.1396,2289900
2014-01-15,8567.8096,8619.5596,8567.8096,8602.5498,2869000
2014-01-16,8653.54,8668.9502,8610.2402,8612.1104,2832700
2014-01-17,8628.4902,8628.8604,8580.4902,8596.0,2288800
2014-01-20,8595.5898,8636.21,8584.5,8621.5596,2277900
2014-01-21,8639.71,8650.1396,8599.9004,8599.9004,2478200
2014-01-22,8598.9805,8633.5703,8596.9902,8625.2998,2141700
2014-01-23,8644.5596,8647.8701,8595.0996,8595.0996,2056700
2014-01-24,8581.4902,8608.6396,8577.1396,8598.3096,1936800
2014-01-27,8519.4805,8519.4805,8442.1904,8462.5703,2605100
2014-02-05,8290.1699,8313.8301,8230.46,8264.4805,3156100
2014-02-06,8286.1602,8333.5596,8284.7695,8311.0098,2451100
2014-02-07,8383.9902,8409.0303,8356.9297,8387.3496,2427200
2014-02-10,8416.4199,8447.0195,8391.9502,8391.9502,2048200
2014-02-11,8413.8604,8439.3301,8401.54,8430.5596,1955500
2014-02-12,8471.5098,8510.8701,8471.5098,8510.8701,2388700
2014-02-13,8506.2197,8511.0195,8467.7002,8467.7002,2100200
2014-02-14,8524.54,8566.9902,8508.2402,8513.6797,2340800
2014-02-17,8537.8301,8558.5,8512.5996,8519.5498,1889000
2014-02-18,8530.8096,8556.2305,8506.0596,8556.2305,1903400
2014-02-19,8565.0596,8577.0098,8543.1504,8577.0098,2203700
2014-02-20,8555.2695,8567.5,8513.0801,8524.6201,2399900
2014-02-21,8571.29,8612.0801,8571.29,8601.8604,2588600
2014-02-24,8603.6104,8612.21,8541.6504,8560.6104,2464800
2014-02-25,8581.1396,8598.7305,8564.5098,8575.6201,2395800
2014-02-26,8569.04,8626.6797,8563.8701,8600.8604,2598300
