Date,Open,High,Low,Close,Volume
2016-01-04,68.09,68.18,66.77,67.59,9248111
2016-01-05,67.37,67.71,65.67,66.55,10807680
2016-01-06,65.24,65.55,64.24,64.42,9752018
2016-01-07,63.31,64.2516,63.084,63.84,11323442
2016-01-08,64.18,64.4085,63.57,63.63,10003645
2016-01-11,63.74,64.21,63.1,64.05,8157575
2016-01-12,64.8,64.9,63.6,64.4,7559962
2016-01-13,63.65,64.37,62.23,62.85,11291194
2016-01-14,62.85,63.75,62.37,63.29,6663953
2016-01-15,62.03,63.05,61.5,62.91,8643651
2016-01-19,63.41,63.79,62.24,62.64,7650778
2016-01-20,61.54,63.54,61.29,63.03,9043776
2016-01-21,63.0,64.32,62.51,62.64,8984475
2016-01-22,58.39,58.89,54.14,55.06,43780544
2016-01-25,54.46,55.77,54.14,55.02,18497365
2016-01-26,55.2,55.74,54.96,55.09,12844594
2016-01-27,55.37,55.82,54.42,54.52,11041811
2016-01-28,54.68,54.76,52.15,52.88,18014871
2016-01-29,53.18,53.705,53.05,53.5,13980679
2016-02-01,53.41,54.99,53.0,54.7,9861884
2016-02-02,54.33,54.39,53.49,53.66,11698298
2016-02-03,54.0,54.29,52.83,54.11,9729528
2016-02-04,54.08,54.46,53.81,54.38,6901921
2016-02-05,54.72,54.845,53.81,53.98,9158367
2016-02-08,53.24,53.45,52.23,52.4,11830492
2016-02-09,52.26,53.0199,51.91,52.63,8588920
2016-02-10,53.0,53.43,52.28,52.29,7080672
2016-02-11,51.22,51.59,50.27,51.11,9214516
2016-02-12,51.88,52.73,51.64,52.66,6107686
2016-02-16,53.01,53.48,52.73,53.18,7163830
2016-02-17,53.5,54.0,53.3,53.61,8638695
2016-02-18,53.5,54.345,53.45,54.15,8503250
2016-02-19,54.25,55.0299,54.03,54.71,6556920
2016-02-22,55.21,55.63,54.96,55.63,6537265
2016-02-23,55.52,55.6,54.96,55.11,5884112
2016-02-24,54.45,54.87,53.5599,54.64,5596203
2016-02-25,54.78,55.39,54.3,55.39,4385366
2016-02-26,55.71,55.9,55.15,55.38,5886231
2016-02-29,55.3,56.15,54.81,55.58,10374760
2016-03-01,56.03,56.84,55.62,56.8,9160746
2016-03-02,56.88,57.23,56.57,57.12,7266187
2016-03-03,57.16,58.18,57.16,58.09,6847790
2016-03-04,58.44,58.65,57.81,58.29,5410034
2016-03-07,58.0,59.48,57.63,59.0,9372800
2016-03-08,58.84,60.0,58.71,59.43,10542249
2016-03-09,59.73,59.79,58.52,59.05,6469596
2016-03-10,59.29,59.46,58.05,58.75,6484050
2016-03-11,59.525,59.91,59.015,59.46,7837284
2016-03-14,59.51,59.94,59.01,59.57,4253419
2016-03-15,59.36,59.4,58.625,59.23,3881894
2016-03-16,58.91,59.9,58.72,59.7,4882584
2016-03-17,59.55,60.495,59.32,60.08,4609739
2016-03-18,60.31,61.445,60.03,61.22,8341168
2016-03-21,60.99,61.38,60.85,61.21,3665568
2016-03-22,60.77,60.9,59.91,60.61,4783184
2016-03-23,60.7,60.91,60.28,60.63,3605059
2016-03-24,60.22,60.52,59.595,60.47,3549534
2016-03-28,60.77,60.79,59.86,60.28,3261772
2016-03-29,60.11,60.65,59.46,60.6,4210346
2016-03-30,60.98,61.0,60.185,60.29,5103244
2016-03-31,60.51,61.52,60.28,61.4,6308444
2016-04-01,60.98,61.66,60.56,61.1,4167414
2016-04-04,61.01,61.055,60.46,60.62,3367372
2016-04-05,60.14,60.44,59.68,60.19,4639974
2016-04-06,59.84,60.05,59.42,59.88,4112070
2016-04-07,59.45,59.52,58.7,58.86,4050911
2016-04-08,59.0,60.2599,58.99,59.5,4603603
2016-04-11,59.67,60.08,59.281,59.8,4033398
2016-04-12,60.0,60.71,59.8001,60.68,4360254
2016-04-13,60.89,62.43,60.842,62.16,4689543
2016-04-14,62.16,62.68,61.97,62.51,4017864
2016-04-15,62.66,62.84,61.91,62.14,4395671
2016-04-18,61.81,62.625,61.73,62.59,3139038
2016-04-19,62.75,63.61,62.74,63.57,4797409
2016-04-20,64.12,65.33,63.92,65.02,8484429
2016-04-21,67.0,67.34,65.4,65.61,9466157
2016-04-22,65.05,66.22,65.05,65.93,5946203
2016-04-25,65.64,65.85,65.14,65.7,4201688
2016-04-26,65.98,66.43,65.63,66.2,3979143
2016-04-27,66.39,66.67,65.83,66.23,4539710
2016-04-28,65.73,66.49,65.56,65.84,3797337
2016-04-29,65.57,65.79,64.85,65.43,5051200
2016-05-02,65.58,66.05,65.175,65.68,4329995
2016-05-03,65.03,65.05,64.33,64.85,4745419
2016-05-04,64.13,64.75,63.83,64.26,4998033
2016-05-05,64.46,64.72,63.79,63.92,4037205
2016-05-06,63.76,64.71,63.45,64.51,3667658
2016-05-09,64.23,64.58,63.77,63.98,4261058
2016-05-10,64.34,65.13,63.99,64.84,4041528
2016-05-11,64.62,65.32,64.41,64.59,4959506
2016-05-12,65.07,65.36,64.065,64.34,3608458
