Date,Open,High,Low,Close,Volume
2016-01-04,117.25,117.73,115.87,117.58,9995004
2016-01-05,117.41,119.23,117.29,119.2,6312701
2016-01-06,118.0,119.27,117.81,118.4,6543740
2016-01-07,117.44,117.97,115.59,115.66,7472323
2016-01-08,115.75,117.47,115.26,115.48,6103181
2016-01-11,115.65,117.06,115.58,116.69,6392810
2016-01-12,117.03,117.74,116.17,117.44,5639680
2016-01-13,117.69,117.87,115.08,115.12,6985962
2016-01-14,115.59,117.13,113.0,116.62,9204308
2016-01-15,114.26,116.45,114.21,115.18,10201798
2016-01-19,116.63,117.71,115.96,117.5,9194562
2016-01-20,116.97,118.0,114.38,115.78,11905195
2016-01-21,116.51,118.44,115.79,117.84,9838780
2016-01-22,118.44,118.75,117.37,118.4,9010801
2016-01-25,121.85,121.9,118.2,119.2,15140066
2016-01-26,119.6,121.3,119.0,120.43,8325884
2016-01-27,120.88,121.62,119.83,120.87,7407338
2016-01-28,121.1,122.6,120.2,122.38,7460432
2016-01-29,122.77,124.35,122.75,123.78,10548877
2016-02-01,123.08,124.83,123.02,124.61,6188006
2016-02-02,124.05,124.34,123.1,123.95,7652438
2016-02-03,124.36,124.58,120.84,121.47,9322112
2016-02-04,121.04,121.24,118.72,120.66,7594821
2016-02-05,120.65,120.65,114.96,115.4,13260510
2016-02-08,114.05,116.36,112.71,116.05,11310593
2016-02-09,115.54,117.8,115.35,117.01,7523130
2016-02-10,118.02,118.53,117.26,117.54,5726298
2016-02-11,115.74,117.5,115.69,116.73,7568617
2016-02-12,116.72,118.33,116.1,117.93,8551912
2016-02-16,118.42,119.18,117.6,119.18,10549594
2016-02-17,119.18,119.4,116.72,118.64,12728752
2016-02-18,118.81,119.46,116.93,117.17,9706783
2016-02-19,117.0,117.35,115.81,116.53,10793653
2016-02-22,117.33,118.16,116.87,117.67,6223220
2016-02-23,117.35,118.15,116.85,116.9,5276452
2016-02-24,116.32,117.33,115.8,117.06,5349845
2016-02-25,117.43,118.5,117.16,118.37,6033209
2016-02-26,117.98,118.27,116.17,117.06,5193632
2016-02-29,116.8,118.365,116.71,117.19,6462561
2016-03-01,117.91,119.19,117.77,118.85,4731459
2016-03-02,118.56,118.73,117.66,118.48,4267748
2016-03-03,117.48,117.48,115.3248,116.69,9131979
2016-03-04,116.72,117.45,115.9,117.18,5857404
2016-03-07,117.03,117.57,116.12,117.15,5640744
2016-03-08,116.21,119.08,116.21,118.42,6218776
2016-03-09,119.24,120.2,118.46,119.64,6427007
2016-03-10,119.91,120.86,118.66,119.98,6171581
2016-03-11,120.49,122.0074,120.36,121.55,7042093
2016-03-14,121.81,123.4899,121.45,122.9,7910816
2016-03-15,122.3,123.76,122.21,123.43,5061379
2016-03-16,123.33,124.06,122.67,123.52,6716710
2016-03-17,123.27,123.85,123.11,123.16,6108726
2016-03-18,123.43,124.12,122.75,124.08,14783556
2016-03-21,123.66,124.5,123.05,123.81,4050102
2016-03-22,123.79,124.39,123.56,123.82,3494464
2016-03-23,124.1,125.0,123.86,124.19,4143431
2016-03-24,123.69,124.0,122.66,123.29,5797096
2016-03-28,124.0,124.2,123.12,123.17,4784378
2016-03-29,123.43,124.57,123.34,123.97,7188190
2016-03-30,124.9,126.1,124.6,125.83,4853563
2016-03-31,126.15,126.96,125.61,125.68,7685746
2016-04-01,125.19,127.39,124.87,127.02,5212355
2016-04-04,127.05,127.868,126.88,127.57,4239465
2016-04-05,126.84,127.78,126.39,127.38,6282243
2016-04-06,127.47,127.69,126.84,127.52,5619790
2016-04-07,127.37,128.5162,127.02,128.14,4720711
2016-04-08,128.28,128.74,127.28,127.96,3625462
2016-04-11,128.35,128.69,127.45,127.56,6973658
2016-04-12,128.08,128.28,126.89,127.61,5211366
2016-04-13,127.71,127.915,126.08,126.89,4984995
2016-04-14,127.14,128.09,127.04,127.51,4834435
2016-04-15,127.08,128.04,126.96,127.78,3103720
2016-04-18,127.95,128.91,127.68,128.85,4525253
2016-04-19,128.91,129.35,128.12,128.86,4605825
2016-04-20,129.31,129.8,128.51,128.55,5006310
2016-04-21,128.55,128.75,125.6,125.79,7942025
2016-04-22,128.17,128.4,125.36,125.5,9309089
2016-04-25,125.07,127.53,125.01,127.46,6979925
2016-04-26,127.42,128.34,127.03,127.71,4081843
2016-04-27,127.94,128.5599,127.78,128.3,4435843
2016-04-28,127.86,128.85,127.44,127.92,3385701
2016-04-29,127.93,127.93,126.1,126.49,6276025
2016-05-02,126.65,128.22,126.5,128.2,4830848
2016-05-03,127.4,128.99,127.38,128.4,4048446
2016-05-04,127.57,130.4299,127.57,129.33,6613656
2016-05-05,129.31,129.9799,129.0,129.28,4519814
2016-05-06,129.38,130.58,128.59,130.58,4417799
2016-05-09,130.65,131.5,130.35,130.83,5006830
2016-05-10,130.85,131.96,130.85,131.6,4082197
2016-05-11,131.24,131.62,129.14,129.14,6883809
2016-05-12,129.74,130.54,129.16,130.12,4287026
2016-05-13,129.74,130.16,128.71,128.83,6568484
2016-05-16,128.51,129.73,128.05,129.64,4343605
2016-05-17,129.6,129.97,127.3,127.69,5824181
2016-05-18,127.05,127.47,125.73,126.21,7303212
2016-05-19,125.48,125.6,124.68,125.29,6255136
2016-05-20,124.74,125.0,122.14,122.56,9735643
2016-05-23,122.76,123.73,122.47,122.81,7081072
2016-05-24,123.39,124.77,123.01,123.95,4494420
2016-05-25,123.75,123.99,123.0315,123.26,5307678
2016-05-26,123.38,123.98,123.23,123.79,3715820
2016-05-27,124.27,124.68,123.115,123.25,3222780
2016-05-31,123.3,123.41,121.62,122.06,7995028
2016-06-01,121.6,122.735,121.5,121.97,5057035
2016-06-02,120.7,121.51,120.55,121.17,4740240
2016-06-03,121.09,121.67,120.34,121.35,4643011
2016-06-06,121.79,122.17,121.205,122.0,4901956
2016-06-07,122.34,123.38,121.9,121.9,4562104
2016-06-08,121.98,122.49,120.8854,122.11,3925901
2016-06-09,122.07,123.09,122.07,122.79,4583522
2016-06-10,121.8,122.66,121.61,122.36,4347385
2016-06-13,121.95,123.965,121.85,122.99,5436706
2016-06-14,122.54,123.19,121.93,122.51,6351355
2016-06-15,123.15,123.32,122.13,122.25,4168099
2016-06-16,121.84,122.63,120.95,122.47,3931956
