Date,Open,High,Low,Close,Volume
2016-01-04,60.5,61.49,60.36,61.46,11988833
2016-01-05,62.03,63.05,61.85,62.92,13325063
2016-01-06,62.48,63.95,62.47,63.55,16564074
2016-01-07,62.97,65.23,62.92,65.03,26427257
2016-01-08,65.08,65.41,63.41,63.54,17765041
2016-01-11,63.76,64.465,63.625,64.22,12652602
2016-01-12,64.38,64.73,63.431,63.62,12194283
2016-01-13,63.73,63.73,61.83,61.92,13725740
2016-01-14,62.0,63.62,61.82,63.06,12934566
2016-01-15,61.55,62.47,61.26,61.93,15171377
2016-01-19,62.25,62.8,62.01,62.56,13051305
2016-01-20,61.8,62.33,60.2,60.84,17367780
2016-01-21,60.98,62.79,60.91,61.88,12088980
2016-01-22,62.44,63.26,62.13,62.69,9197462
2016-01-25,62.78,63.82,62.55,63.45,12823265
2016-01-26,63.36,64.47,63.26,64.0,9441146
2016-01-27,64.1,65.18,63.89,63.95,10213965
2016-01-28,64.03,64.51,63.43,64.22,11278194
2016-01-29,64.75,66.53,64.74,66.36,16437904
2016-02-01,65.91,67.93,65.89,67.5,14727358
2016-02-02,67.3,67.84,66.28,66.86,13585054
2016-02-03,67.31,67.5,65.07,66.27,12315265
2016-02-04,65.76,66.55,65.01,66.42,12833366
2016-02-05,66.86,67.53,65.88,67.0,14195739
2016-02-08,66.5,67.15,65.163,66.9,20743404
2016-02-09,65.49,66.41,64.68,65.81,14642057
2016-02-10,66.19,66.59,65.645,65.79,9708996
2016-02-11,65.02,65.76,64.78,65.32,11186005
2016-02-12,65.52,66.25,64.87,66.18,9695125
2016-02-16,66.61,66.8,65.5,65.9,11356522
2016-02-17,66.1,66.61,65.81,66.11,12416647
2016-02-18,63.74,64.78,62.35,64.12,27894515
2016-02-19,63.89,64.765,63.44,64.66,15558412
2016-02-22,64.96,66.135,64.96,65.63,10586801
2016-02-23,65.84,66.6,65.28,66.48,11432011
2016-02-24,66.19,67.33,65.72,67.12,10286797
2016-02-25,67.45,68.13,67.33,68.04,9581195
2016-02-26,68.08,68.2,66.3,66.51,10981181
2016-02-29,66.63,66.95,66.22,66.34,9345004
2016-03-01,66.65,66.89,66.0,66.46,10427925
2016-03-02,66.21,66.67,66.0,66.21,9164983
2016-03-03,65.95,66.2,64.88,66.14,11846211
2016-03-04,66.14,67.28,66.09,66.78,10010539
2016-03-07,66.62,68.48,66.27,67.89,12825429
2016-03-08,67.73,68.47,67.485,68.04,9947466
2016-03-09,67.79,67.99,67.12,67.53,7824756
2016-03-10,67.55,68.035,66.4,67.41,10225109
2016-03-11,67.77,67.94,66.8,67.17,8290880
2016-03-14,67.15,67.67,66.96,67.36,6712410
2016-03-15,67.0,68.349,67.0,68.09,7566895
2016-03-16,67.94,68.34,67.25,67.99,8218029
2016-03-17,67.82,68.92,67.26,67.45,11836578
2016-03-18,67.48,68.03,66.75,66.95,23152641
2016-03-21,67.03,68.38,66.97,67.97,9415789
2016-03-22,68.0,68.68,67.79,67.87,7514506
2016-03-23,68.01,68.1,67.44,67.46,6110647
2016-03-24,67.43,68.04,67.38,68.0,6303542
2016-03-28,67.93,68.575,67.93,68.12,5603164
2016-03-29,68.15,68.2091,67.43,68.03,6491000
2016-03-30,68.33,69.0,68.29,68.8,7208443
2016-03-31,68.75,69.19,68.47,68.49,6283490
2016-04-01,68.02,69.2,68.02,69.06,6602374
2016-04-04,69.0,69.37,68.92,69.1,6823360
2016-04-05,69.03,69.25,68.27,68.64,5779038
2016-04-06,68.7,69.06,68.52,69.04,5362697
2016-04-07,68.83,68.93,67.945,68.22,6110491
2016-04-08,68.31,68.39,67.86,68.06,6515793
2016-04-11,68.01,68.37,67.38,67.4,7863238
2016-04-12,67.57,68.87,67.45,68.8,7732679
2016-04-13,69.01,69.42,68.87,69.15,6262715
2016-04-14,69.15,69.24,68.15,68.8,6977130
2016-04-15,68.94,69.41,68.94,69.06,7584493
2016-04-18,69.05,69.9,68.85,69.86,6622352
2016-04-19,69.79,70.08,69.5,69.77,8199358
2016-04-20,69.76,69.99,69.131,69.21,5412547
2016-04-21,69.47,69.68,68.24,68.47,6617516
2016-04-22,68.82,68.94,68.28,68.72,6215117
2016-04-25,68.55,69.5,68.06,69.47,5896232
2016-04-26,69.7,69.8899,69.1,69.3,6648430
2016-04-27,69.49,69.78,68.99,69.42,5147280
2016-04-28,69.07,69.62,68.75,68.91,4775929
2016-04-29,68.73,68.82,66.36,66.87,12098040
2016-05-02,66.62,67.7,66.53,67.59,7609700
2016-05-03,66.86,67.495,66.75,67.0,5922369
2016-05-04,66.85,67.49,66.44,67.19,6029518
2016-05-05,66.97,67.25,66.58,67.21,8090984
2016-05-06,66.91,68.26,66.8,68.25,9825160
2016-05-09,68.25,69.1,68.16,68.95,8656229
2016-05-10,68.92,69.13,68.45,68.79,6401108
2016-05-11,67.47,67.5,65.61,66.41,14596441
2016-05-12,66.55,67.05,66.38,66.85,9533363
2016-05-13,66.48,66.55,64.65,64.94,13744652
2016-05-16,64.86,66.35,64.68,66.02,10181795
2016-05-17,66.06,66.27,64.88,65.1,9252650
2016-05-18,63.02,63.777,62.72,63.15,22255902
2016-05-19,68.1,69.33,67.5,69.2,35076690
2016-05-20,69.33,70.14,68.85,69.86,16742593
2016-05-23,69.6,70.06,69.44,69.5,10099782
2016-05-24,69.65,70.42,69.55,70.24,8827986
2016-05-25,70.25,70.995,70.24,70.48,7269763
2016-05-26,70.69,71.375,70.6,70.85,8692426
2016-05-27,70.86,70.89,70.49,70.75,5773666
2016-05-31,70.58,71.0,70.48,70.78,8389484
2016-06-01,70.5,70.905,70.41,70.5,7221359
2016-06-02,70.5,71.0,70.145,70.95,6508681
2016-06-03,70.57,71.05,70.52,70.87,6374329
2016-06-06,71.52,71.55,71.0,71.05,9015943
2016-06-07,71.1,71.31,70.85,71.03,7363374
2016-06-08,70.85,71.45,70.8,71.28,6138989
2016-06-09,71.36,71.59,70.85,71.09,6069759
2016-06-10,71.0,71.41,70.68,71.14,7511406
2016-06-13,71.0,71.18,70.485,70.53,7907557
2016-06-14,70.66,71.17,70.2,70.95,9066307
2016-06-15,71.2,71.615,71.0,71.12,8016482
2016-06-16,71.0,71.46,70.8,71.3,6705181
2016-06-17,71.05,71.31,70.4,70.95,18059297
2016-06-20,71.31,71.78,71.05,71.1,7142522
2016-06-21,70.95,71.72,70.95,71.46,6674766
2016-06-22,71.6,72.25,71.565,71.75,8457509
2016-06-23,72.2,72.24,71.785,72.1,6969864
2016-06-24,70.55,72.72,70.51,71.96,15120033
2016-06-27,71.64,71.77,70.875,71.5,11346061
2016-06-28,71.76,71.87,70.67,71.51,8561127
2016-06-29,71.63,72.49,71.56,72.46,7014708
2016-06-30,72.57,73.195,72.32,73.02,8713585
2016-07-01,73.13,73.17,72.415,72.81,7638181
2016-07-05,72.75,73.62,72.68,73.14,10748626
2016-07-06,73.26,73.98,73.17,73.82,11062713
2016-07-07,73.73,73.9321,73.15,73.53,7486861
2016-07-08,73.82,73.85,73.24,73.84,9127565
2016-07-11,73.67,74.35,73.5,74.06,9040070
2016-07-12,73.56,73.73,73.0,73.27,12360974
2016-07-13,73.25,73.63,72.94,73.62,6393864
2016-07-14,73.79,74.11,73.61,73.7,6646248
2016-07-15,73.98,74.01,73.44,73.67,5994480
2016-07-18,73.64,74.18,73.53,73.84,5457237
2016-07-19,73.64,73.96,73.585,73.66,4797883
2016-07-20,73.88,74.11,73.63,73.79,5281885
2016-07-21,73.43,73.656,73.14,73.52,4432231
2016-07-22,73.76,73.91,73.42,73.55,4316633
2016-07-25,73.55,73.835,73.41,73.75,4733874
2016-07-26,73.71,74.07,73.41,73.73,5248083
2016-07-27,73.66,73.82,73.135,73.32,5771470
2016-07-28,73.14,73.32,72.47,73.24,4603167
2016-07-29,73.17,73.25,72.76,72.97,6302187
