Date,Open,High,Low,Close,Volume
2016-01-04,20.41,22.075,20.28,21.87,5038400
2016-01-05,22.29,22.48,21.56,21.64,4495700
2016-01-06,21.29,21.46,20.341,20.53,3821900
2016-01-07,20.01,20.15,18.8,19.01,8115100
2016-01-08,19.39,19.42,18.275,18.32,5069500
2016-01-11,18.55,18.55,16.39,17.38,10131800
2016-01-12,17.76,18.26,16.52,16.85,5408500
2016-01-13,17.71,18.63,16.52,16.64,9956700
2016-01-14,16.74,16.9999,15.38,16.7,7633500
2016-01-15,16.06,16.51,15.39,16.34,6709700
2016-01-19,16.49,16.654,14.82,15.23,6980900
2016-01-20,14.41,14.97,13.28,14.87,8031200
2016-01-21,15.92,15.98,14.49,14.79,12172800
2016-01-22,15.2266,16.1,14.9,16.03,7825000
2016-01-25,15.85,15.9,14.76,14.79,6866600
2016-01-26,14.82,14.9989,14.41,14.74,4135200
2016-01-27,14.57,14.73,14.06,14.17,4116800
2016-01-28,14.39,14.59,13.32,13.77,5997100
2016-01-29,14.09,14.33,13.61,14.09,4979400
2016-02-01,13.86,14.5,13.58,14.41,4089500
2016-02-02,14.26,14.9,13.71,13.93,7176400
2016-02-03,14.01,14.26,13.33,14.18,4916700
2016-02-04,14.12,14.765,13.99,14.71,4244400
2016-02-05,14.44,14.54,13.04,13.21,7747500
2016-02-08,12.69,12.93,11.855,11.96,6391900
2016-02-09,11.74,12.6,11.53,12.02,6425500
2016-02-10,12.47,13.17,12.13,12.47,6977800
2016-02-11,12.16,12.75,11.91,12.41,6932100
2016-02-12,12.6,12.67,11.35,12.0,12510000
2016-02-16,11.83,13.58,11.61,13.21,11192500
2016-02-17,13.39,13.94,13.16,13.8,6375800
2016-02-18,14.02,14.07,13.1,13.47,5787000
2016-02-19,13.37,14.1,13.26,13.89,9950600
2016-02-22,14.12,15.48,14.12,15.2,9403900
2016-02-23,15.1,15.32,14.61,15.11,5116300
2016-02-24,14.74,15.5999,14.43,15.41,5899900
2016-02-25,15.8,16.08,14.9,15.78,6671700
2016-02-26,16.14,16.57,15.85,16.46,6602800
2016-02-29,16.53,17.1699,16.03,16.94,14683800
2016-03-01,17.39,17.73,16.97,17.67,6837200
2016-03-02,17.39,17.89,17.28,17.75,3705000
2016-03-03,17.57,18.4,17.52,18.2,5062100
2016-03-04,18.28,19.14,17.81,18.25,7891900
2016-03-07,18.2,19.19,18.1,18.69,6426600
2016-03-08,18.5,18.69,17.76,17.84,5282100
2016-03-09,18.94,19.63,17.91,18.03,12952000
2016-03-10,18.37,18.37,17.04,17.47,6330200
2016-03-11,17.74,18.4067,17.63,18.27,5212100
2016-03-14,18.08,18.26,17.67,17.99,4090600
2016-03-15,17.7,17.92,17.05,17.2,5188600
2016-03-16,17.05,17.629,16.86,17.58,4252300
2016-03-17,17.61,18.21,17.3,17.96,3571500
2016-03-18,18.01,18.68,17.96,18.36,5565000
2016-03-21,18.41,19.17,18.38,18.76,4290400
2016-03-22,18.66,18.81,18.42,18.56,2782600
2016-03-23,18.36,18.58,17.67,17.81,4351200
2016-03-24,17.5,17.86,17.25,17.8,2934600
2016-03-28,17.82,17.85,17.2,17.52,2914600
2016-03-29,17.4,17.95,17.18,17.91,2274400
2016-03-30,18.01,18.25,17.58,17.91,3518400
2016-03-31,17.84,18.14,17.61,17.99,2912700
2016-04-01,17.75,17.76,17.3,17.69,4141500
2016-04-04,17.54,18.18,17.47,17.73,4459800
2016-04-05,17.49,17.86,17.3923,17.46,3247200
2016-04-06,17.55,18.23,17.43,18.21,4003400
2016-04-07,18.0,18.38,17.72,17.88,4567500
2016-04-08,18.15,18.15,17.35,17.46,3082000
2016-04-11,17.59,17.97,17.2801,17.39,3497200
2016-04-12,17.34,17.47,16.97,17.17,3747900
2016-04-13,17.4,18.39,17.33,18.34,4342900
2016-04-14,18.28,18.5,17.68,18.33,5652600
2016-04-15,18.25,18.35,17.85,17.94,4165000
2016-04-18,17.73,17.9,17.59,17.6,3753400
2016-04-19,17.69,17.77,16.9636,17.29,5218200
2016-04-20,17.18,17.28,16.66,16.81,6390800
2016-04-21,16.83,17.13,16.79,16.85,3166900
2016-04-22,17.09,18.24,17.02,17.945,7611800
2016-04-25,17.83,18.65,17.81,18.06,4122300
2016-04-26,18.07,18.3,17.91,18.03,2826400
2016-04-27,18.25,18.73,18.11,18.27,4780400
2016-04-28,18.2,18.55,17.7,17.74,3560300
2016-04-29,17.8,17.85,17.09,17.35,4119500
2016-05-02,17.41,17.7,16.83,17.24,5284600
2016-05-03,16.92,17.1525,16.51,16.68,4257900
2016-05-04,16.5,16.7673,16.01,16.19,4453800
2016-05-05,16.28,16.4099,15.85,15.98,5664400
2016-05-06,14.0,14.49,12.8,12.945,24094900
2016-05-09,13.05,13.1,12.5275,12.83,6640300
2016-05-10,12.9,13.535,12.65,13.39,6389800
2016-05-11,13.52,13.66,13.25,13.25,3630600
2016-05-12,13.39,13.4504,12.47,12.66,4858400
2016-05-13,12.72,12.99,12.52,12.78,3224600
2016-05-16,12.38,13.27,12.38,13.12,6184700
2016-05-17,13.01,13.74,13.01,13.39,5756500
2016-05-18,13.31,13.68,13.23,13.51,3531800
2016-05-19,13.44,14.08,13.19,13.41,4885400
2016-05-20,13.29,13.95,13.08,13.79,5464500
2016-05-23,13.85,14.5,13.81,14.25,4053600
2016-05-24,14.38,15.59,14.25,15.39,10318800
2016-05-25,15.74,16.13,15.2706,15.54,5863700
2016-05-26,15.62,15.87,15.4,15.76,4881900
2016-05-27,15.5,16.23,15.15,15.86,5794500
2016-05-31,15.96,16.14,15.71,15.92,3199300
2016-06-01,15.78,16.23,15.47,16.2,4233400
2016-06-02,16.04,16.96,16.03,16.89,4469500
2016-06-03,16.75,17.09,16.5,16.89,4623900
2016-06-06,16.91,17.29,16.75,17.1,3138500
2016-06-07,17.06,17.29,16.85,17.12,3593500
2016-06-08,17.17,17.25,16.64,16.81,4175200
2016-06-09,16.68,17.1,16.4,16.58,2594900
2016-06-10,16.34,16.39,15.76,15.81,3430100
2016-06-13,15.59,16.4,15.38,15.64,5703000
2016-06-14,15.52,15.8,15.285,15.43,5168000
2016-06-15,15.46,16.61,15.42,16.05,10185600
2016-06-16,16.23,16.845,15.76,16.74,6767800
2016-06-17,16.87,17.049,16.7,16.85,6154900
2016-06-20,17.07,17.35,16.95,16.98,3322500
2016-06-21,17.16,17.32,16.62,16.78,5003600
2016-06-22,16.75,16.78,16.21,16.29,3546800
2016-06-23,16.43,16.91,16.26,16.88,3957900
2016-06-24,16.04,16.3,15.36,15.56,8724800
2016-06-27,15.36,15.51,14.56,14.65,4964800
2016-06-28,15.19,15.62,14.96,15.14,4114700
2016-06-29,15.33,16.02,15.15,15.88,4199700
2016-06-30,16.0,17.07,15.39,16.47,11834600
2016-07-01,16.39,16.955,16.25,16.4,5576800
2016-07-05,16.14,16.2528,15.56,15.94,3606900
2016-07-06,15.78,16.34,15.65,16.01,3273400
2016-07-07,16.08,16.34,15.97,16.0,3496500
2016-07-08,16.2,16.47,15.92,16.42,4566900
2016-07-11,16.55,16.8,16.29,16.31,4589300
2016-07-12,16.06,16.89,15.86,16.71,5720000
2016-07-13,16.89,17.25,16.48,16.83,4337800
2016-07-14,17.02,17.07,16.47,16.55,5991600
2016-07-15,16.64,16.653,16.16,16.26,4087100
2016-07-18,16.23,16.55,16.18,16.46,2368300
2016-07-19,16.53,16.65,16.33,16.39,2309100
2016-07-20,16.42,16.49,16.13,16.37,3343200
2016-07-21,16.33,16.65,16.01,16.07,2986800
2016-07-22,16.18,16.44,15.961,16.28,2973200
2016-07-25,16.24,16.59,16.02,16.53,2849400
2016-07-26,16.4,16.9,16.34,16.62,2918400
2016-07-27,16.75,16.92,16.48,16.49,2606200
2016-07-28,16.6,18.42,16.4,18.09,12612900
2016-07-29,17.62,17.9,17.08,17.42,7453600
2016-08-01,17.53,17.75,16.87,16.96,5085200
2016-08-02,16.86,17.695,16.82,17.6,6302500
2016-08-03,17.56,17.701,17.23,17.27,5855300
2016-08-04,17.3,17.46,16.65,16.75,10305300
2016-08-05,13.93,14.82,13.8,14.73,25834100
2016-08-08,14.53,14.82,14.061,14.42,10184600
2016-08-09,14.2,14.415,14.06,14.34,6301500
2016-08-10,14.22,14.3,13.8,13.91,7848500
2016-08-11,13.92,14.64,13.91,14.46,5725200
2016-08-12,14.63,14.65,14.16,14.36,3952300
2016-08-15,14.41,14.73,14.28,14.53,3441900
2016-08-16,14.19,14.74,14.18,14.64,4005100
2016-08-17,14.67,14.72,14.23,14.41,3975000
2016-08-18,14.59,14.99,14.36,14.85,4826600
2016-08-19,14.74,15.75,14.64,15.44,8316600
2016-08-22,15.37,15.43,15.0,15.24,3704300
2016-08-23,15.42,15.72,15.35,15.42,3491100
2016-08-24,15.52,15.55,14.85,14.94,3351700
2016-08-25,15.03,15.16,14.79,14.92,4143100
2016-08-26,15.0,15.01,14.41,14.56,5675600
2016-08-29,14.62,14.775,14.35,14.58,2899900
2016-08-30,14.66,14.73,14.2177,14.37,3345200
2016-08-31,14.27,14.62,14.1,14.36,4097200
2016-09-01,14.43,15.54,14.36,15.19,8577000
2016-09-02,15.14,15.44,14.99,15.23,2954600
2016-09-06,15.24,15.67,15.21,15.65,4119900
2016-09-07,15.7,16.39,15.58,15.63,6908600
2016-09-08,15.51,15.59,15.16,15.23,3958800
2016-09-09,15.22,15.22,14.5,14.61,4739500
2016-09-12,14.42,14.83,14.36,14.64,4108800
2016-09-13,14.39,14.72,14.16,14.41,3364100
2016-09-14,14.47,14.65,13.84,14.02,5029200
2016-09-15,14.04,14.21,13.95,14.08,3626700
2016-09-16,14.01,14.225,13.88,14.02,4200900
2016-09-19,14.08,14.171,13.38,13.58,4978100
2016-09-20,13.65,13.84,13.51,13.55,2804300
2016-09-21,13.67,13.94,13.55,13.81,4570400
2016-09-22,13.93,14.56,13.85,14.49,7285800
2016-09-23,14.87,14.9,14.29,14.37,7088500
2016-09-26,14.2,14.49,14.03,14.48,3317200
2016-09-27,14.47,14.91,14.47,14.78,4117100
2016-09-28,14.87,15.0299,14.65,14.86,2921600
2016-09-29,14.85,14.8999,14.32,14.49,3586400
2016-09-30,14.59,14.79,14.38,14.73,2677700
2016-10-03,14.58,14.84,14.45,14.68,2505100
2016-10-04,14.68,14.7567,14.45,14.49,2498600
2016-10-05,14.5,15.03,14.4701,14.69,3804300
2016-10-06,14.75,14.75,13.6801,13.83,8240900
