Date,Open,High,Low,Close,Volume
2016-01-04,45.59,46.59,44.9547,45.39,287690
2016-01-05,45.5,45.6455,44.95,45.21,207554
2016-01-06,44.52,45.39,44.465,45.09,208853
2016-01-07,44.14,45.02,43.58,43.68,243931
2016-01-08,44.13,44.295,43.05,43.18,339826
2016-01-11,43.47,44.405,42.83,43.37,166522
2016-01-12,43.82,44.27,42.9,43.33,224610
2016-01-13,43.55,43.95,40.81,41.02,232741
2016-01-14,41.39,41.66,40.57,41.12,203230
2016-01-15,39.88,41.43,39.55,41.41,513437
2016-01-19,41.87,42.11,40.76,40.93,340821
2016-01-20,40.75,42.16,40.26,41.59,373610
2016-01-21,41.56,42.3,41.3,41.66,311394
2016-01-22,42.25,42.88,41.805,42.31,361319
2016-01-25,42.14,42.66,40.72,41.0,342272
2016-01-26,41.16,45.34,40.98,42.87,539379
2016-01-27,45.01,47.3,43.78,44.34,784756
2016-01-28,45.08,45.64,44.69,45.11,671399
2016-01-29,45.44,47.0,45.01,46.9,601690
2016-02-01,46.47,47.67,46.14,47.64,490436
2016-02-02,47.03,49.285,46.355,46.99,475522
2016-02-03,47.47,51.0,46.84,47.73,517625
2016-02-04,47.64,48.65,46.82,47.89,454701
2016-02-05,47.91,49.52,47.59,47.68,530066
2016-02-08,47.04,48.68,46.48,47.44,366821
2016-02-09,46.81,47.7,46.05,47.17,373177
2016-02-10,47.5,47.65,46.45,46.5,387743
2016-02-11,45.4,45.96,44.83,45.16,310283
2016-02-12,45.99,47.215,45.79,47.09,437076
2016-02-16,47.81,48.61,46.94,48.39,327815
2016-02-17,48.88,49.39,48.61,48.81,310986
2016-02-18,48.85,49.4,47.1692,49.39,396181
2016-02-19,49.18,50.46,48.73,49.82,553763
2016-02-22,50.24,50.33,49.77,49.92,355313
2016-02-23,49.75,49.93,48.65,49.17,379008
2016-02-24,48.52,49.3,47.68,48.77,317990
2016-02-25,48.82,49.67,48.68,49.43,207339
2016-02-26,49.93,50.34,49.09,49.81,249640
2016-02-29,49.75,50.14,48.72,49.11,322388
2016-03-01,49.42,51.45,49.0,51.04,226838
2016-03-02,51.15,51.5,50.22,51.45,236424
2016-03-03,51.41,53.16,51.29,53.11,367767
2016-03-04,53.0,53.48,52.44,52.99,331398
2016-03-07,52.6,52.9,52.2701,52.55,269958
2016-03-08,51.88,51.88,50.67,50.72,240598
2016-03-09,51.01,51.16,49.81,50.12,320594
2016-03-10,50.42,51.05,49.71,50.97,238073
2016-03-11,51.31,52.51,50.34,52.44,356395
2016-03-14,52.16,53.0,51.74,52.58,328168
2016-03-15,52.19,52.19,50.93,51.59,645205
2016-03-16,51.49,52.33,51.04,51.46,532086
2016-03-17,51.39,53.1,50.47,53.0,441461
2016-03-18,53.33,53.89,52.1,53.26,884419
