Date,Open,High,Low,Close,Volume
2016-01-04,18.58,19.87,18.31,19.86,1969442
2016-01-05,19.95,20.14,19.43,19.91,1090208
2016-01-06,19.75,19.89,19.53,19.79,1010797
2016-01-07,19.58,21.47,19.58,20.74,2083484
2016-01-08,20.78,20.87,19.01,19.05,2844969
2016-01-11,19.22,19.67,19.06,19.18,1290284
2016-01-12,19.4,19.4,18.5263,18.94,948630
2016-01-13,19.03,19.37,18.115,18.34,1058161
2016-01-14,18.43,18.79,17.91,18.75,1301140
2016-01-15,18.6,18.83,18.0,18.53,1170606
2016-01-19,18.7,19.0,17.66,17.75,1078185
2016-01-20,17.57,18.01,16.75,17.47,1664673
2016-01-21,17.5,17.79,17.07,17.49,1319877
2016-01-22,17.79,19.02,17.54,18.94,1180878
2016-01-25,18.83,19.38,18.65,18.87,1099584
2016-01-26,18.89,19.68,18.87,19.38,812000
2016-01-27,19.33,19.33,18.64,18.7,1052076
2016-01-28,18.94,19.16,18.7008,18.99,746929
2016-01-29,19.08,19.315,19.0,19.21,1033833
2016-02-01,19.08,19.76,18.87,19.4,2860077
2016-02-02,19.25,19.25,18.78,18.93,1173642
2016-02-03,19.0,19.1278,18.29,18.69,1516090
2016-02-04,18.69,18.82,18.53,18.58,2674838
2016-02-05,18.57,18.66,18.39,18.49,948961
2016-02-08,18.39,18.4,16.69,16.96,4005099
2016-02-09,16.92,17.03,16.27,16.53,1719651
2016-02-10,16.6,16.81,16.23,16.24,1297201
2016-02-11,16.03,16.49,15.64,15.68,1499457
2016-02-12,15.87,16.3,15.13,15.41,3096248
2016-02-16,15.61,16.045,15.59,15.95,2001122
2016-02-17,16.08,16.976,16.04,16.61,1563876
2016-02-18,16.71,16.84,15.84,16.31,931411
2016-02-19,16.25,16.55,15.91,16.16,1184875
2016-02-22,16.5,16.73,16.11,16.46,1206555
2016-02-23,16.45,16.88,16.32,16.35,1474983
2016-02-24,16.15,17.22,16.1,17.14,1710513
2016-02-25,17.22,17.54,16.79,17.48,1164145
2016-02-26,17.59,18.69,17.54,18.47,1343056
2016-02-29,18.41,18.89,18.3,18.85,1233648
2016-03-01,19.0,19.79,18.92,19.69,1260627
2016-03-02,19.59,20.38,19.46,20.19,1800534
2016-03-03,19.9,21.0,19.5301,20.76,1850897
2016-03-04,20.9,22.53,20.7875,21.57,2895771
2016-03-07,21.46,22.91,21.41,22.83,1831379
2016-03-08,22.8,22.89,21.48,21.8,1400479
2016-03-09,21.87,22.1,21.27,21.77,1136112
2016-03-10,21.74,21.98,21.01,21.52,1151222
2016-03-11,21.75,22.103,21.55,21.83,974616
2016-03-14,21.96,22.5,21.78,22.19,1126687
2016-03-15,21.99,22.289,20.95,21.73,1253543
2016-03-16,21.75,22.25,21.71,22.12,1203383
2016-03-17,22.08,22.15,21.78,21.85,1659892
2016-03-18,21.77,21.9204,21.33,21.35,1945626
2016-03-21,21.4,21.67,21.27,21.48,1179866
2016-03-22,21.41,21.57,21.3,21.44,834010
2016-03-23,21.5,21.68,21.16,21.16,804710
2016-03-24,21.11,21.87,20.705,21.83,892637
2016-03-28,21.83,21.98,21.25,21.65,841083
2016-03-29,20.99,21.71,20.76,21.7,884135
2016-03-30,21.79,22.05,21.48,21.89,853653
2016-03-31,21.91,22.36,21.91,22.25,901578
2016-04-01,22.0,22.6,21.628,22.55,1099058
2016-04-04,22.6,22.68,22.34,22.52,580103
2016-04-05,22.34,22.64,22.03,22.32,866188
2016-04-06,22.36,23.01,22.35,22.83,728217
2016-04-07,22.68,22.8,22.31,22.42,496165
2016-04-08,22.6,22.975,22.5,22.91,865516
2016-04-11,22.54,23.43,22.54,23.03,1031614
2016-04-12,23.19,23.65,22.975,22.98,1477226
2016-04-13,22.98,23.34,22.88,23.24,1435159
2016-04-14,23.3,23.44,22.9,23.21,644314
2016-04-15,23.45,23.59,23.155,23.48,628801
2016-04-18,23.36,23.48,23.2,23.27,485910
2016-04-19,23.31,23.65,23.2,23.47,499340
2016-04-20,23.43,23.73,23.4,23.51,607917
2016-04-21,23.58,23.84,23.27,23.44,687332
2016-04-22,23.4,23.95,23.38,23.95,706189
2016-04-25,23.95,24.0,23.25,23.34,590115
2016-04-26,23.36,23.89,23.36,23.54,540484
2016-04-27,23.5,23.94,23.3228,23.69,466685
2016-04-28,23.55,23.89,23.17,23.33,381984
2016-04-29,23.34,23.53,22.86,23.23,544683
2016-05-02,23.2,23.31,23.03,23.15,671517
2016-05-03,23.04,23.2,22.7201,23.13,528776
2016-05-04,23.06,23.59,23.04,23.36,730064
2016-05-05,23.5,23.69,23.02,23.66,495917
2016-05-06,23.52,23.7,23.11,23.51,547128
2016-05-09,23.46,23.62,23.3,23.56,522151
2016-05-10,23.64,23.76,23.43,23.55,635521
2016-05-11,23.54,24.04,23.4675,23.73,687723
2016-05-12,24.0,24.5,23.78,24.03,891260
2016-05-13,23.91,24.28,23.615,23.73,807263
2016-05-16,23.71,24.54,23.7,24.47,764450
2016-05-17,24.29,24.65,23.97,24.17,825871
2016-05-18,24.2,24.68,23.9,24.15,661012
2016-05-19,23.92,24.16,23.63,23.87,953769
2016-05-20,23.92,24.33,23.79,23.9,592940
2016-05-23,24.0,24.26,23.95,23.97,497474
2016-05-24,24.17,24.44,24.01,24.39,533545
2016-05-25,24.41,24.8,24.3558,24.7,414311
2016-05-26,24.7,24.78,24.36,24.54,458458
2016-05-27,24.5,24.93,24.45,24.91,494566
2016-05-31,25.0,25.17,24.83,24.98,610112
2016-06-01,24.89,24.98,24.55,24.91,1049977
2016-06-02,24.85,25.57,24.85,25.51,808366
2016-06-03,25.66,26.05,25.55,26.03,840819
2016-06-06,25.97,26.19,25.92,26.12,806944
2016-06-07,26.1,26.72,26.06,26.56,646556
2016-06-08,26.53,26.89,26.45,26.68,512052
2016-06-09,26.73,26.92,26.56,26.86,632648
2016-06-10,26.63,26.88,26.51,26.81,1139569
2016-06-13,26.69,27.18,26.65,26.68,953312
2016-06-14,26.69,26.7999,26.0,26.12,614677
2016-06-15,26.15,26.67,26.035,26.34,687563
2016-06-16,26.1,26.71,25.69,26.7,1576061
2016-06-17,26.71,27.55,26.69,27.46,2328394
2016-06-20,27.71,28.74,27.68,28.16,2612709
2016-06-21,26.79,28.345,26.62,28.29,17427301
2016-06-22,28.28,28.86,28.1155,28.57,2082585
2016-06-23,28.83,29.57,28.77,29.42,3616075
2016-06-24,28.3,29.18,28.0,28.27,2521160
2016-06-27,28.16,28.2,26.33,26.82,4834230
2016-06-28,26.62,27.75,26.58,27.73,2720513
2016-06-29,27.91,28.64,27.86,28.29,1686001
2016-06-30,28.26,28.93,28.09,28.9,1423909
2016-07-01,28.8,29.35,28.76,29.32,1762906
2016-07-05,29.35,29.82,28.955,29.42,2107401
2016-07-06,29.29,29.55,28.83,29.28,1346865
2016-07-07,29.4,29.43,29.12,29.4,1142209
2016-07-08,29.61,30.54,29.45,30.5,1695683
2016-07-11,30.4,30.58,30.06,30.26,1562385
2016-07-12,30.21,30.86,30.21,30.48,1467219
2016-07-13,30.53,30.74,30.3,30.52,750492
2016-07-14,30.66,30.82,30.33,30.37,818669
2016-07-15,30.56,30.81,30.12,30.31,1040807
2016-07-18,30.38,30.9465,30.14,30.76,1383998
2016-07-19,30.79,30.94,30.53,30.86,935641
2016-07-20,30.9,30.98,30.6,30.88,868096
2016-07-21,30.77,31.1,30.53,30.64,896233
2016-07-22,30.68,31.24,30.65,31.05,1062592
2016-07-25,31.0,31.21,30.666,30.91,594447
2016-07-26,30.96,31.04,30.56,30.97,832344
2016-07-27,30.91,31.19,30.61,30.84,673184
2016-07-28,30.76,30.99,30.7,30.87,664186
2016-07-29,30.89,31.12,30.78,31.08,1462311
2016-08-01,31.1,31.19,30.83,31.0,1286675
2016-08-02,31.0,31.0,29.86,30.29,1566097
2016-08-03,30.29,30.61,30.16,30.6,1063712
2016-08-04,30.55,30.83,30.24,30.82,925963
2016-08-05,31.0,31.0,30.525,30.68,644676
2016-08-08,30.68,30.82,30.17,30.34,818276
2016-08-09,30.23,30.58,29.95,30.52,825060
2016-08-10,30.49,30.71,30.08,30.22,1245355
2016-08-11,30.0,30.66,28.71,30.3,1570887
2016-08-12,30.38,30.65,30.13,30.3,835726
2016-08-15,30.3,30.66,30.2,30.45,691790
2016-08-16,30.37,30.53,29.8,29.82,843565
2016-08-17,29.67,29.86,29.3,29.8,1110112
2016-08-18,29.78,29.97,29.55,29.7,523439
2016-08-19,29.68,29.7,29.29,29.38,752418
2016-08-22,29.37,29.71,29.13,29.58,486306
2016-08-23,29.65,29.89,29.58,29.68,673825
2016-08-24,29.67,29.7275,29.19,29.3,664967
2016-08-25,29.31,29.8,29.31,29.69,730389
2016-08-26,29.68,30.15,29.33,29.5,625820
2016-08-29,29.69,30.4,29.69,30.31,993356
2016-08-30,30.39,30.65,30.37,30.64,850875
2016-08-31,30.65,31.24,30.424,31.2,2147231
2016-09-01,31.11,31.59,30.93,31.33,2933728
2016-09-02,31.48,32.05,31.38,31.9,1420277
2016-09-06,31.82,32.08,31.61,31.91,977407
2016-09-07,31.88,32.47,31.8,32.14,917367
2016-09-08,31.97,31.97,31.61,31.61,1159863
2016-09-09,31.34,31.38,30.25,30.29,2570911
2016-09-12,30.04,31.39,29.95,31.23,1111568
2016-09-13,31.04,31.23,30.2561,30.6,1243589
2016-09-14,30.77,31.35,30.7201,30.84,915562
2016-09-15,30.91,31.84,30.774,31.49,837864
2016-09-16,31.41,31.59,31.02,31.44,1556584
2016-09-19,31.57,31.97,31.42,31.6,1037947
2016-09-20,31.79,31.85,30.88,30.94,861048
2016-09-21,30.91,31.28,30.38,31.23,1346868
2016-09-22,31.45,31.69,31.265,31.62,878643
2016-09-23,31.41,32.66,31.235,32.02,4037569
2016-09-26,31.94,32.73,31.82,32.7,4208342
2016-09-27,32.62,32.62,32.14,32.29,1195567
2016-09-28,31.66,31.96,31.239,31.92,988544
2016-09-29,31.89,32.06,31.32,31.41,1033589
2016-09-30,31.52,31.95,31.41,31.41,808732
2016-10-03,31.32,31.54,30.57,30.77,1081801
2016-10-04,30.88,30.9066,29.87,29.99,1054734
2016-10-05,30.15,30.38,29.37,29.58,1935837
2016-10-06,30.95,30.95,28.94,29.45,1105403
2016-10-07,29.54,30.0,28.93,29.21,988607
2016-10-10,29.19,29.67,29.1,29.6,664046
2016-10-11,29.73,29.87,28.88,29.05,940272
2016-10-12,29.0,29.58,28.95,29.41,517932
2016-10-13,29.5,30.08,29.305,30.04,845618
2016-10-14,30.26,30.49,29.95,30.07,956929
2016-10-17,30.17,30.365,30.0,30.04,576190
2016-10-18,30.28,30.46,29.91,30.14,580137
2016-10-19,30.24,30.36,29.9,30.3,604065
2016-10-20,30.2,30.41,29.99,30.14,633214
2016-10-21,29.87,30.4,29.7546,30.36,679469
2016-10-24,30.41,30.66,29.89,29.97,954092
2016-10-25,29.97,29.97,29.28,29.38,1054728
2016-10-26,29.13,29.32,28.77,29.04,1028694
2016-10-27,29.11,29.26,28.61,28.8,819932
2016-10-28,28.81,29.19,28.58,28.78,634882
2016-10-31,28.78,28.9201,28.41,28.43,1070732
